%time,field.header.seq,field.header.stamp,field.header.frame_id,field.Latitude,field.Longitude,field.Altitude,field.UTM_Easting,field.UTM_Northing,field.Zone,field.Letter
1644357130943515650,83,1644357130942694425,,42.34026333333333,-71.09746666666666,5.1,327217.63619925093,4689686.999262045,19,T
1644357131962797454,84,1644357131962015151,,42.340265,-71.09746333333334,5.0,327217.91536502994,4689687.177559138,19,T
1644357132963915170,85,1644357132963084697,,42.340268333333334,-71.09746333333334,5.2,327217.9244955022,4689687.547700764,19,T
1644357133943995310,86,1644357133942992925,,42.340273333333336,-71.097465,5.7,327217.8008909628,4689688.106300058,19,T
1644357134944374265,87,1644357134943598270,,42.34027666666667,-71.097465,6.0,327217.81002144376,4689688.476441682,19,T
1644357135965495026,88,1644357135964703321,,42.34028166666667,-71.09746333333334,6.2,327217.9610173969,4689689.0282672625,19,T
1644357136961572383,89,1644357136960759401,,42.34028333333333,-71.09746166666666,6.4,327218.1028828634,4689689.209951219,19,T
1644357137943785459,90,1644357137942950963,,42.340286666666664,-71.09745833333334,6.5,327218.38661377085,4689689.573319145,19,T
1644357138963519187,91,1644357138962712526,,42.34028833333333,-71.09745666666667,6.6,327218.5284792138,4689689.755003111,19,T
1644357139963251054,92,1644357139962466001,,42.34029,-71.09745333333333,6.7,327218.8076448663,4689689.933300239,19,T
1644357140942981302,93,1644357140942209959,,42.340291666666666,-71.09745,6.8,327219.0868105001,4689690.111597375,19,T
1644357141961930739,94,1644357141961178302,,42.340293333333335,-71.09744833333333,6.9,327219.22867591656,4689690.293281356,19,T
1644357142944506900,95,1644357142943657159,,42.34029666666667,-71.097445,6.9,327219.51240672596,4689690.656649324,19,T
1644357143944782601,96,1644357143944005966,,42.34029833333334,-71.09744166666667,6.9,327219.7915723151,4689690.83494649,19,T
1644357144943998023,97,1644357144943641185,,42.3403,-71.09744,7.0,327219.93343769526,4689691.016630483,19,T
1644357145943292230,98,1644357145942445993,,42.34030166666667,-71.09743833333333,6.9,327220.07530307234,4689691.198314479,19,T
1644357146944203586,99,1644357146943429708,,42.34030166666667,-71.09743666666667,6.9,327220.2126032612,4689691.1949276645,19,T
1644357147944357215,100,1644357147943583965,,42.340305,-71.097435,6.8,327220.3590338032,4689691.561682478,19,T
1644357148943558303,101,1644357148942718505,,42.34030666666666,-71.09743166666667,6.8,327220.6381993348,4689691.739979676,19,T
1644357149942261331,102,1644357149941458702,,42.34030833333333,-71.09743,6.7,327220.7800646777,4689691.921663686,19,T
1644357150945839100,103,1644357150945077419,,42.34031,-71.09742666666666,6.7,327221.05923018407,4689692.099960899,19,T
1644357151944949586,104,1644357151944202184,,42.340311666666665,-71.09742333333334,6.6,327221.33839567396,4689692.278258123,19,T
1644357152943673598,105,1644357152942689895,,42.340313333333334,-71.09742166666666,6.5,327221.48026099027,4689692.459942146,19,T
1644357153942823636,106,1644357153941995382,,42.340316666666666,-71.09741833333334,6.4,327221.76399159944,4689692.8233102,19,T
1644357154944548736,107,1644357154943704366,,42.340318333333336,-71.097415,6.4,327222.0431570447,4689693.001607452,19,T
1644357155945082024,108,1644357155944230318,,42.34032,-71.09741166666667,6.5,327222.3223224733,4689693.179904713,19,T
1644357156944325234,109,1644357156943543910,,42.34032166666667,-71.09740833333333,6.5,327222.60148789175,4689693.358201987,19,T
1644357157943083065,110,1644357157942223787,,42.34032333333333,-71.097405,6.5,327222.8806532916,4689693.53649927,19,T
1644357158961559136,111,1644357158960721731,,42.340325,-71.0974,6.6,327223.29711881676,4689693.71140981,19,T
1644357159944532344,112,1644357159943691730,,42.34032666666667,-71.09739833333333,6.6,327223.4389840521,4689693.893093871,19,T
1644357160944090726,113,1644357160943176984,,42.34033,-71.097395,6.5,327223.7227145013,4689694.256461999,19,T
1644357161944253606,114,1644357161943388938,,42.340331666666664,-71.09739166666667,6.5,327224.0018798405,4689694.434759324,19,T
1644357162945237676,115,1644357162944409608,,42.340333333333334,-71.09739,6.5,327224.14374504366,4689694.6164434,19,T
1644357163950664715,116,1644357163949836015,,42.340335,-71.09738833333333,6.6,327224.2856102396,4689694.798127477,19,T
1644357164961797450,117,1644357164961011648,,42.340336666666666,-71.097385,6.6,327224.5647755407,4689694.976424824,19,T
1644357165961362791,118,1644357165960573434,,42.340338333333335,-71.09738333333334,6.7,327224.70664071885,4689695.15810891,19,T
1644357166944044424,119,1644357166943215608,,42.340338333333335,-71.09738166666666,6.7,327224.84394082736,4689695.154722184,19,T
1644357167962153058,120,1644357167961320877,,42.34034,-71.09737666666666,6.7,327225.2604062023,4689695.329632835,19,T
1644357168961531254,121,1644357168960663080,,42.34034,-71.09737333333334,6.8,327225.53500640986,4689695.322859408,19,T
1644357169944215307,122,1644357169943382263,,42.34034166666667,-71.09737,6.9,327225.81417165673,4689695.501156806,19,T
1644357170964176099,123,1644357170963326454,,42.340345,-71.097365,7.0,327226.23520201317,4689695.861138326,19,T
1644357171944814534,124,1644357171944020986,,42.34034666666667,-71.09736166666667,7.1,327226.51436722034,4689696.03943575,19,T
1644357172948634777,125,1644357172947871446,,42.34034833333333,-71.09735666666667,7.3,327226.93083249754,4689696.214346497,19,T
1644357173959553114,126,1644357173958745002,,42.34035166666666,-71.09735333333333,7.3,327227.2145626759,4689696.577714762,19,T
1644357174945022523,127,1644357174944235801,,42.340355,-71.09735,7.3,327227.49829282385,4689696.941083037,19,T
1644357175963614770,128,1644357175962831974,,42.340358333333334,-71.097345,7.4,327227.9193230099,4689697.301064655,19,T
1644357176943819822,129,1644357176942966222,,42.34036,-71.09734,7.6,327228.3357881751,4689697.475975484,19,T
1644357177963160329,130,1644357177962318420,,42.340363333333336,-71.09733666666666,7.9,327228.61951823195,4689697.839343802,19,T
1644357178945607292,131,1644357178944766521,,42.340365,-71.09733333333334,7.8,327228.8986832965,4689698.017641316,19,T
1644357179964613091,132,1644357179963836669,,42.34036666666667,-71.09733166666666,7.8,327229.04054830456,4689698.199325484,19,T
1644357180945642091,133,1644357180944831371,,42.34037,-71.09732833333334,7.8,327229.324278297,4689698.56269383,19,T
1644357181944954359,134,1644357181944145202,,42.34037166666667,-71.097325,7.8,327229.60344331694,4689698.740991371,19,T
1644357182964724863,135,1644357182963943719,,42.34037333333333,-71.09732333333334,7.8,327229.74530829274,4689698.922675552,19,T
1644357183964869426,136,1644357183964056253,,42.340376666666664,-71.09732,7.6,327230.0290382188,4689699.286043923,19,T
1644357184944622648,137,1644357184943826675,,42.340378333333334,-71.09731833333333,7.6,327230.1709031733,4689699.467728113,19,T
1644357185962953507,138,1644357185962700366,,42.34038,-71.097315,7.5,327230.45006813353,4689699.646025687,19,T
1644357186963275062,139,1644357186963000535,,42.340383333333335,-71.09731333333333,7.4,327230.59649798955,4689700.012780698,19,T
1644357187945316818,140,1644357187944536209,,42.340385,-71.09731,7.2,327230.8756629196,4689700.1910782885,19,T
1644357188944035635,141,1644357188943210124,,42.34038666666667,-71.09730833333333,7.1,327231.0175278327,4689700.372762496,19,T
1644357189961617609,142,1644357189960833549,,42.34038666666667,-71.097305,7.1,327231.2921278337,4689700.365989288,19,T
1644357190964244261,143,1644357190963410139,,42.34038833333334,-71.09730166666667,6.7,327231.5712927333,4689700.544286906,19,T
1644357191944871367,144,1644357191944046020,,42.34039,-71.09729833333333,6.4,327231.85045761435,4689700.722584531,19,T
1644357192962941449,145,1644357192962159156,,42.34039166666667,-71.097295,6.2,327232.129622483,4689700.9008821715,19,T
1644357193943590383,146,1644357193942706584,,42.340395,-71.09729166666666,6.0,327232.4133522106,4689701.264250633,19,T
1644357194943853753,147,1644357194942956209,,42.34039666666666,-71.09728833333334,5.8,327232.6925170411,4689701.442548294,19,T
1644357195943995288,148,1644357195943122625,,42.34039833333333,-71.097285,5.7,327232.97168186156,4689701.620845966,19,T
1644357196942953985,149,1644357196942182064,,42.3404,-71.09728333333334,5.6,327233.113546692,4689701.802530211,19,T
1644357197943027282,150,1644357197942179679,,42.340401666666665,-71.09728,5.6,327233.39271148504,4689701.980827897,19,T
1644357198945741688,151,1644357198944929838,,42.340403333333335,-71.09727666666667,5.4,327233.6718762616,4689702.159125596,19,T
1644357199944580656,152,1644357199943762540,,42.34040666666667,-71.09727333333333,5.4,327233.9556058623,4689702.522494119,19,T
1644357200943804050,153,1644357200942948341,,42.340408333333336,-71.09727,5.3,327234.23477060284,4689702.700791836,19,T
1644357201943727412,154,1644357201942829132,,42.34041,-71.09726666666667,5.3,327234.513935331,4689702.879089567,19,T
1644357202944299860,155,1644357202943489313,,42.34041166666667,-71.09726333333333,5.3,327234.79310004483,4689703.057387306,19,T
1644357203950532796,156,1644357203949754953,,42.34041166666667,-71.09726166666667,5.2,327234.9303999925,4689703.0540007735,19,T
1644357204943545482,157,1644357204942685365,,42.34041333333333,-71.09725833333333,5.3,327235.20956468617,4689703.23229853,19,T
1644357205944088799,158,1644357205943221807,,42.34041666666667,-71.09725666666667,5.3,327235.35599422804,4689703.599053635,19,T
1644357206943876189,159,1644357206942990541,,42.34041666666667,-71.097255,5.3,327235.4932941628,4689703.595667113,19,T
1644357207946703886,160,1644357207945933103,,42.34041833333333,-71.09725333333333,5.2,327235.63515888934,4689703.777351407,19,T
1644357208948591442,161,1644357208947723627,,42.34042,-71.09725166666666,5.1,327235.77702361083,4689703.959035705,19,T
1644357209964546087,162,1644357209963747739,,42.340421666666664,-71.09724833333334,5.0,327236.0561882468,4689704.137333494,19,T
1644357210950763311,163,1644357210949972629,,42.340425,-71.09724666666666,5.0,327236.2026177284,4689704.504088614,19,T
1644357211944881666,164,1644357211943988800,,42.340426666666666,-71.09724333333334,5.0,327236.48178233206,4689704.682386419,19,T
1644357212943980001,165,1644357212943117141,,42.340428333333335,-71.09724166666666,5.1,327236.6236470144,4689704.864070732,19,T
1644357213942952918,166,1644357213942167282,,42.34043,-71.09723833333334,5.0,327236.90281159495,4689705.0423685545,19,T
1644357214959367256,167,1644357214958571434,,42.34043333333333,-71.09723666666666,5.0,327237.04924101615,4689705.409123691,19,T
1644357215948661468,168,1644357215947835206,,42.340435,-71.09723333333334,4.9,327237.3284055644,4689705.587421528,19,T
1644357216962403199,169,1644357216961620569,,42.34043666666667,-71.09723166666667,4.8,327237.4702702032,4689705.769105858,19,T
1644357217943773032,170,1644357217942865848,,42.34044,-71.09722833333333,4.8,327237.75399946765,4689706.132474524,19,T
1644357218961638490,171,1644357218960815191,,42.34044166666666,-71.097225,4.6,327238.0331639671,4689706.31077239,19,T
1644357219962210455,172,1644357219961392879,,42.34044333333333,-71.09722333333333,4.5,327238.17502857785,4689706.492456732,19,T
1644357220961012344,173,1644357220960161209,,42.340446666666665,-71.09722166666667,4.4,327238.32145790476,4689706.859211892,19,T
1644357221943801901,174,1644357221942930221,,42.340448333333335,-71.09721833333333,4.4,327238.60062236316,4689707.0375097785,19,T
1644357222945778619,175,1644357222945019483,,42.34045166666667,-71.097215,4.4,327238.8843515164,4689707.400878489,19,T
1644357223944508598,176,1644357223943682193,,42.340453333333336,-71.09721166666667,4.3,327239.16351594095,4689707.579176396,19,T
1644357224960878172,177,1644357224960045814,,42.34045666666667,-71.09720833333333,4.2,327239.44724504405,4689707.942545129,19,T
1644357225944130010,178,1644357225943315505,,42.34045833333333,-71.09720666666666,4.2,327239.589109587,4689708.124229499,19,T
1644357226965443111,179,1644357226964666843,,42.34046,-71.09720333333334,4.2,327239.86827396054,4689708.302527434,19,T
1644357227945712485,180,1644357227944851160,,42.34046166666667,-71.09720166666666,4.4,327240.01013848564,4689708.484211813,19,T
1644357228962752822,181,1644357228961908340,,42.340465,-71.09719833333334,4.6,327240.29386751016,4689708.847580578,19,T
1644357229946965923,182,1644357229946152448,,42.340466666666664,-71.097195,4.7,327240.57303184125,4689709.025878538,19,T
1644357230961681528,183,1644357230960899829,,42.340468333333334,-71.09719166666666,4.8,327240.8521961557,4689709.204176511,19,T
1644357231944695614,184,1644357231943892478,,42.340471666666666,-71.09718833333334,5.0,327241.1359251108,4689709.567545308,19,T
1644357232945025588,185,1644357232944194316,,42.340475,-71.097185,5.1,327241.4196540351,4689709.930914116,19,T
1644357233966061134,186,1644357233965221643,,42.34047833333333,-71.09718166666667,5.3,327241.70338293305,4689710.294282935,19,T
1644357234963862577,187,1644357234963022708,,42.34048,-71.09717666666667,5.4,327242.1198469646,4689710.469194554,19,T
1644357235945924291,188,1644357235945163965,,42.34048333333333,-71.09717333333333,5.6,327242.40357580525,4689710.832563399,19,T
1644357236967074431,189,1644357236966249465,,42.340485,-71.09717166666667,5.7,327242.54544021585,4689711.014247827,19,T
1644357237961053871,190,1644357237960261106,,42.34048666666666,-71.09716833333333,5.9,327242.8246043988,4689711.192545874,19,T
1644357238949109161,191,1644357238948273897,,42.34048833333333,-71.097165,5.9,327243.10376856936,4689711.370843931,19,T
1644357239944930878,192,1644357239944102048,,42.340491666666665,-71.09716333333333,5.9,327243.25019755145,4689711.7375991875,19,T
1644357240963120068,193,1644357240962304353,,42.340493333333335,-71.09716,5.9,327243.5293616897,4689711.91589726,19,T
1644357241963063284,194,1644357241962260961,,42.340495,-71.09715666666666,6.0,327243.8085258135,4689712.094195345,19,T
1644357242945428183,195,1644357242944643020,,42.34049666666667,-71.097155,6.0,327243.95039016334,4689712.275879799,19,T
1644357243964451274,196,1644357243963659048,,42.3405,-71.09715166666666,6.0,327244.2341188374,4689712.639248716,19,T
1644357244944599318,197,1644357244943810701,,42.34050166666667,-71.09715,6.1,327244.3759831658,4689712.820933178,19,T
1644357245944593306,198,1644357245943772077,,42.34050333333333,-71.09714666666666,6.1,327244.6551472321,4689712.999231296,19,T
1644357246945018727,199,1644357246944230794,,42.340505,-71.09714333333334,6.1,327244.934311284,4689713.177529423,19,T
1644357247947723031,200,1644357247946887969,,42.34050833333333,-71.09714,6.2,327245.2180398722,4689713.540898376,19,T
1644357248946154993,201,1644357248945309638,,42.34051,-71.09713666666667,6.3,327245.497203888,4689713.719196525,19,T
1644357249944158481,202,1644357249943366289,,42.340513333333334,-71.097135,6.4,327245.6436327031,4689714.0859518275,19,T
1644357250946917267,203,1644357250946100234,,42.340515,-71.09713166666667,6.6,327245.92279668665,4689714.2642499935,19,T
1644357251945546107,204,1644357251944720029,,42.340518333333335,-71.09712833333333,6.7,327246.20652518404,4689714.627618984,19,T
1644357252948872612,205,1644357252948117494,,42.34052,-71.097125,6.8,327246.48568912956,4689714.805917172,19,T
1644357253947330759,206,1644357253946446895,,42.34052333333333,-71.09712166666667,7.0,327246.76941757894,4689715.169286183,19,T
1644357254948607673,207,1644357254947769641,,42.340525,-71.09712,7.1,327246.9112817909,4689715.350970695,19,T
1644357255950980591,208,1644357255950138807,,42.34052833333333,-71.09711666666666,7.3,327247.1950101955,4689715.714339725,19,T
1644357256950959766,209,1644357256950119018,,42.34053,-71.09711333333334,7.4,327247.4741740727,4689715.8926379485,19,T
1644357257950238049,210,1644357257949404239,,42.34053333333333,-71.09711166666666,7.5,327247.6206027479,4689716.259393289,19,T
1644357258951914629,211,1644357258951051950,,42.340536666666665,-71.09710833333334,7.6,327247.9043310812,4689716.622762345,19,T
1644357259950596441,212,1644357259949734687,,42.340538333333335,-71.09710666666666,7.8,327248.04619523603,4689716.804446878,19,T
1644357260967539855,213,1644357260966767549,,42.34054166666667,-71.09710333333334,8.0,327248.32992352656,4689717.16781595,19,T
